Id,ProductId,UserId,HelpfulnessNumerator,HelpfulnessDenominator,Time,Summary,Text,Score,Helpfulness,UserFrequency,ProductFrequency,SummarySentimentScore,SummarySentiment,TextSentimentScore,TextSentiment,Year,Month,Day
240997,6300984869,A2V1R9DIP7RH9R,0,1,2013-07-08,A GREAT MOVIE,"Bette Davis, Lillian Gish, Ann Sutherland and Vincent Price on a summer resort island in Maine. A lovely story about coping with the inevitabilities of aging and of coming to terms with these. A must see!",5.0,0.0,1,1,0.6249,very positive,0.6239,very positive,2013,7,8
642804,B00005JOSG,A3KF4IP2MUS8QQ,2,3,2006-07-25,"A truly wonderful, heartwarming, meaningful film","Everyone is entitled to their opinion, but, honestly, I don't see how anyone could give Last Holiday anything less than five stars.  This is a good, good movie through and through.  The story, the casting, and the settings are just dead-on, but it's Queen Latifah who really makes this movie special.  Who would have thought, all those years ago, that this young female rapper would someday absolutely light up the screen and connect with audiences in a way few actresses can match?  She's simply wonderful in the role of Georgia Byrd, a character that so many of us can identify with.  Georgia is ""just folks,"" a kind and caring woman who has spent her whole life waiting for something big to happen, too shy and afraid to do anything more than maintain a scrapbook of ""possibilities"" - places she wants to go, things she wants to do, and the man she wants to be with.  Just as she is beginning to come to terms with her suddenly thirty-something life, Fate comes up and punches her right in the mouth.  Not only is she dying of a rare disease, she only has three or four weeks to live.Rather than lie down and wait for death, Georgia decides to live her last days to the fullest.  Cashing in all of her assets, she jets off to the spectacular Grandhotel Pupp in Karlovy Vary (in the Czech Republic), where she lives like a queen in the Presidential Suite, dines in the restaurant of the famous Chef Didier (Gerard Depardieu), and embraces activities such as snowboarding and base jumping.  Almost immediately, she becomes the talk of the town.  Hotel staff marvel at such an obviously wealthy woman actually treating them with kindness and respect, while some of the other guests try to find out who she is and (in the case of a few) what she is up to.  Among those other guests are Matthew Kragen (Timothy Hutton), the owner of the retail store Georgia worked at (whose profits-only management style rubbed her entirely the wrong way - and didn't exactly boost profits, either), an important Congressman, and one of her own state's U.S. senators.  Along for the ride, as well, is the striking Alicia Witt as Kragen's mistress.  Last but not least is Sean Matthews (LL Cool J), Georgia's former co-worker and all-around man of her dreams, who comes to play a profound role of his own in Georgia's life.  As for Kragen, who really is a loathsome creature, he's suspicious of this nouveau riche stranger who seems to enchant everyone around him, from Chef Didier to the political cronies with whom he is trying to pave the way for a major new acquisition.  Suspecting her of trying to sabotage his pending deal, he sets out to prove that he is far more equal than she is.  All of these diverse characters' lives will be changed forever by Georgia's interaction with them.Last Holiday is a romance, drama, and comedy all rolled into one - and it has a unique effect on the viewer.  While the movie is genuinely funny throughout, the dark shadow of this wonderful character's impending death hangs over every shining moment.  Personally, the movie made me feel a little bit unsettled; I couldn't stand the thought of this wonderful character dying.  It isn't every movie that can make you laugh with a lump in your throat, but Last Holiday can make you do just that.  I give a lot of credit to the writers, as they tie every little plot element together beautifully.Those with a passion for the gourmet may be interested in knowing that all of the ritzy food dishes seen in this movie were prepared by chefs from the Food Network, and the recipes for each of the featured dishes were posted on the Food Network web site - I don't figure this Southern boy is going to get a hankerin' for Spiced Lamb Shanks with Blood Orange Relish any time soon, but I'll know where to look if the urge hits me.The important thing is that you watch this movie.  It doesn't just make you laugh or cry, it gives you a new appreciation for life and the inspiration to get off your duff and start living - and to treat others with respect while you're doing it.",5.0,0.6666666666666666,6,3,0.9001,very positive,0.9986,very positive,2006,7,25
966693,B000E1ZB9U,A6QMY5WPTVAT1,0,0,2012-04-23,A treat for John le Carr&eacute; fans,"I'm pretty sure that ""A Perfect Spy"" was the first John le Carr&eacute; novel I ever bought and read.  It had to have been at least twenty years ago, so my memory is a bit fuzzy; but I believe that this was my introduction to le Carr&eacute; in written form.  (I had previously seen at least a couple of movies and a TV miniseries based on some of le Carr&eacute;'s other novels; but this was the first one of his books that I actually read.)  Since then I have read most of John le Carr&eacute;'s other spy novels; and I consider myself a fan of his work.  But it's been a long, long time since I've read ""A Perfect Spy""; and I had forgotten most of the details of the story.  So, to be perfectly honest, I can't really say how closely this miniseries follows the plot of the book.  As I was watching it this past weekend, the characters and storyline seemed familiar, but only vaguely so.  Oddly enough, I never saw this miniseries when it aired on TV back in the early 1990s.  (It was a BBC production; but it was rebroadcast in the US as part of the PBS series ""Masterpiece Theatre"".)  In fact, I didn't even know that this miniseries existed until I came across the DVDs here on Amazon.  I'm glad I finally got to watch it.  (Better late than never, I suppose.)  As I said, I don't recall how closely it follows the book, but it definitely has the ""feel"" of a John le Carr&eacute; story; and, as a fan of le Carr&eacute;'s work, I found it quite satisfying.This seven-part miniseries tells the life story of Magnus Pym, the son of a con man who grows up to become a spy.  Beginning in Pym's early childhood, we see how his unusual upbringing shapes his character, turning him into a charming liar with no moral compass and a gift for getting people to trust him.  This is what ultimately makes Pym the perfect spy.  We watch Pym grow up and see how his unique life experiences ultimately lead him into espionage.  But we also see how the ghosts of his past affect the choices he makes in the present.  John le Carr&eacute; writes realistic spy stories that are complex, layered, and deep.  His stories are really about people, and why they do the things they do.  It just so happens that the people he writes about are spies.  They make interesting characters because they inhabit a shadowy world of secrets and lies, where the normal rules of moral behavior in a civilized society don't apply, and it's often hard to tell the good guys from the bad guys.  The thing that sets le Carr&eacute; apart from other writers of spy fiction is the way he captures, and subtly critiques, the moral ambiguity of the world of espionage.  He doesn't give us noble heroes and dastardly villains.  He simply gives us people -- realistically imperfect human beings -- all of whom are morally compromised in one way or another.  This is what we see in this miniseries.  If you're looking for mindless action in the style of James Bond or Jason Bourne, look elsewhere.  This miniseries is slow-paced and cerebral, with very little violence or action of any kind.  It's simply not that sort of spy story.  It's really not about the art of espionage at all.  Instead, it's an in-depth character study of Magnus Pym and why he did the things he did.  It's fascinating from a psychological standpoint; but anyone who watches this expecting it to be some sort of fast-paced thriller is likely to be bored to tears.  I should also point out that it does contain some brief nudity and strong language (though not a lot of it), which some viewers might not be comfortable with.If you're already a John le Carr&eacute; fan you should definitely get this.  If you're not already familiar with le Carr&eacute;'s works, several of which have been made into movies (including ""The Spy Who Came in from the Cold"", ""The Russia House"", and ""Tinker Tailor Soldier Spy""), then the only thing I can say is that I think it's a great story that's worth watching; but it's definitely not for everyone, especially those with short attention spans.",5.0,0.0,1,1,0.4019,positive,0.996,very positive,2012,4,23
1563976,B008JFUQ16,A3TIEP0VIAW6UM,0,0,2014-01-20,movie fan,"We loved Despicable Me and looked forward to Despicable Me 2. It was on the Christmas wish list. Totally enjoyable and very funny. The characters are great. Love Gru and the girls are hilarious. The minions with their individual personalities are sweet, funny and I'm so glad that they were transformed back to their lovable selves.",5.0,0.0,1,5,0.3182,positive,0.9899,very positive,2014,1,20
1441572,B00543R3WG,A2XFVRJA27AEDX,0,0,2013-03-12,Harry Potter I'll never forget .......,We had a lot of the movies on VHS. When the movie started coming out on dvd  someone in the family bought it for me for Christmas. WOW ALL 8 movies. Hey everyone bring the popcorn and jellybeans .It's party time. John Fields,5.0,0.0,1,1,0.1695,neutral,0.8038,very positive,2013,3,12
1507694,B0060MYM3S,A2KME2USX22TA8,4,7,2013-02-14,TV At it's Best,"Best drama on TV in years. Captivating plot, sub-plots, characters. Leaves you wanting more. The international cast is wonderful, so a man has said",5.0,0.5714285714285714,1,3,0.6369,very positive,0.836,very positive,2013,2,14
1001751,B000GCFO08,ACGINGBXAPRPP,0,1,2013-02-01,love it,ahhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh nice Horror Movie check it out it worth the buy for a good price on here :) i just love it.,5.0,0.0,1,5,0.6369,very positive,0.8779,very positive,2013,2,1
345801,6302921058,AWG2O9C42XW5G,0,0,2010-05-10,Scary,this is a pretty scary movie. considering it's based on a real guy. but this movie is awesome alot better than the remake.,5.0,0.0,9,4,-0.4939,negative,0.8885,very positive,2010,5,10
951201,B000BW7QWW,A1CHM200OEN65X,1,1,2008-10-17,A Far-From-Serene Surprise,"I'm not a big sci-fi fan, and I never watched the TV show upon which this movie was based. A good friend twisted my arm--almost physically--and convinced me to give this movie a chance. I finally popped in the DVD yesterday and...Wow!""Serenity"" is what so many other movies try to be. It's clever, campy, witty, fun, thrilling, while also throwing in tidbits of social and religious commentary. From universe-shaking conspiracies, to clairvoyance, to good old swashbuckling adventure, this is an entertaining movie. The plot's been told enough times here, but suffice it to say that imagination runs high and the characters each have their own distinct personalities and purposes. This is storytelling in all its wild-eyed, woolly-haired fun, and I'm sorry I didn't jump on board ""Serenity"" sooner.",5.0,1.0,2,5,0.2732,positive,0.9514,very positive,2008,10,17
70687,0783241569,A1MYX3IQ09D6XY,2,2,2000-03-23,Truly Delightful,"Roberts and Grant are wonderful of course, but the rest of the cast is just as good. Sweet, charming, funny, and sometimes very moving. Especially the relationship between William's two best friends. The London locations  are great.",5.0,1.0,1,2,0.7717,very positive,0.9903,very positive,2000,3,23
1109831,B000WGYMT2,A3AH69QTKVNX5G,0,1,2010-09-11,Great fun and nice to watch with your family too.,Great fun and nice to watch with your family too. And definitely you can laugh out loud. I gave it a Five Star.,5.0,0.0,1,1,0.8807,very positive,0.9477,very positive,2010,9,11
605383,B00005JLSE,A22E8SBRQZ3BUP,0,1,2014-01-12,A world-class musical,This is one of the best musicals in the last quarter century--on a par with My Fair Lady and Cabaret.,5.0,0.0,1,6,0.0,neutral,0.7579,very positive,2014,1,12
321192,6302574536,A3QADD5SXAQYH2,1,7,2007-08-22,FINALLY WITH BONUS FEATURES!,I have always been a fan of this movie!I am glad to hear a few of the cast members will be doing a commentary!Buy this dvd classic 70s drive-in fave!,5.0,0.1428571428571428,1,1,0.5848,positive,0.8433,very positive,2007,8,22
322399,6302598524,A1E1ZXFK18L9OR,4,5,2002-11-19,Funniest Movie Ever,"It sad that this movie is out-of-print (on hold by Disney actually) and so unknown.  This is the funniest movie I've ever watched, and it's still funny the 10th time you watch it.  It has an all-star cast.  I am assured that the play (which the movie comes from) is even funnier, so if you ever see that it's playing in your city, buy tickets!  You will especially appreciate this film if you've ever been in the cast of a play.  We can really appreciate what happens to people when they spend A LOT of time together over an extended period - human emotional complexities at their best!",5.0,0.8,1,2,0.5574,positive,0.9766,very positive,2002,11,19
363430,6303212263,A3A8D5LL5IS0ME,2,2,2006-08-05,Superman the Movie - Blast from the Past.,"The older Superman is better then the new 2006 Superman, better actors and on a more personal relationship between Superman and Louis Lane, and has the spirit of the fun of the comic strip. The new movie actor's don't show any emotion together, just act and read their lines. The old Superman is funny and true to the comic book. The only saveing grace to the new movie are the special effects. Superman the Movie is a ""Classic"".",5.0,1.0,1,3,0.0,neutral,0.9638,very positive,2006,8,5
16869,0767821955,A2QS8HOG7XL4PA,3,4,2007-02-13,Janet Jackson at her best!!!!,"The film Poetic Justice to me is a great one. The first time I saw this film, I fell in love with it, especially the characters. Janet's character, Justice, struck a chord in me. She went through a lot, but she also gained strength. Tupac's character, Lucky, I fell in love with him. Chicago, what an idiot, and Regina King's character, Iesha, interesting. This film is a good one, and I loved it. One of my favorite films of all time!!!",5.0,0.75,1,1,0.0,neutral,0.9908,very positive,2007,2,13
1443502,B00560317S,AD80IM5IQGWUI,0,0,2013-02-21,Inspector Lewis,This sequel to Morse just gets better and better--the team is fabulous and the stories are engaging.  A bonus is to vicariously walk the streets of Oxford and surrounding areas.Julia's Quest,5.0,0.0,1,3,0.0,neutral,0.9042,very positive,2013,2,21
330742,6302734657,A1C2DPTRZS3DJN,0,0,2013-02-02,Road runner,This is the hilarious Road Runner cartoons with Wiley Cyote and his Acme products.  My 2 1/2 year  old grandson watches it over and over.  It's worth the money and the seller was great.,5.0,0.0,1,1,0.0,neutral,0.8271,very positive,2013,2,2
1578838,B008YRL7H6,A1UIU3DF5EPIGF,1,3,2012-12-06,Anime Gold,"First off please excuse the fact that I did not purchase this from Amazon, but instead from my local retailer. To all the anime fans out there who have been let down by the likes of Shiki(as I myself was) this is for you. Hellsing Ultimate is easily one of the greatest anime series I have ever seen, and I've seen a lot. The artwork, voice acting, effects and action are second to none. There's simply no other way to describe how I felt watching this than simply blown away. Gore junkies rejoice, this series packs such a visceral punch it makes Claymore or Elfen Lied look like child's play.Seriously the amount of violence and gore and bloodletting in this series is on a level all its own. Pick up these two volumes ASAP, I spent full price and can say emphatically that it was worth every single cent. True Blood and Twilight had there throats ripped out by Hellsing long before they could even stand.Enjoy and don't forget to ""just drink the blood, you idiot.""",5.0,0.3333333333333333,1,1,0.0,neutral,0.969,very positive,2012,12,6
213056,6300214508,A3BUHOBSTI1ZEI,0,0,2012-11-24,Great Movie!,"If you haven't seen this movie, it is really wonderful for both teens and adults as well.  It's not a new movie, but if you like the Sherlock PBS series, you will want to be sure not to miss this one.",5.0,0.0,1,2,0.6588,very positive,0.885,very positive,2012,11,24
1101592,B000VHVT66,A328S9RN3U5M68,39,41,2008-02-28,"Goya, Los Caprichos, and the Decline of Rationality","Milos Forman has a gift for combining fine art subject matter in period pieces that are not only entertaining but also educating.  In GOYA'S GHOSTS he not only explores the multifaceted aspects of the great Spanish artist Francisco Goya as a painter of court portraits as well as canvases  of dramatic collisions between the factions of people versus military cruelty of 18th and 19th century Spain, but he also dissects the infamous Spanish Inquisition, not only by defining characters who represented the Holy Office and the victims of the 'purging' but also by subtly remarking on the tenor of the times by focusing on Goya's 80 etchings titled 'Los Caprichos'. This is a richly realized film that captures the horror of the times while it offers insights into the changes that occurred in Spain in a rather comprehensive fashion.1792 and while Francisco Goya (Stellan Skarsgrd) is painting portraits of the royal family (Randy Quaid and Blanca Portillo) as well as portraits of his favorite model In&eacute;s (Natalie Portman) and of the Inquisition activist Brother Lorenzo (Javier Bardem).  Corruption abounds  in Spain and the fear of the Inquisition headed by Father Gregorio (Michael Lonsdale) penetrates all of society. When In&eacute;s is called before the Inquisition because she doesn't like the taste of pork offered at a public banquet, she is tortured for not confessing to be a Jewess and imprisoned.  Despite the pleadings of Goya and the money offered by her family (Brother Lorenzo is asked to intervene on her behalf), In&eacute;s remains in prison for 15 years and when Brother Lorenzo visits her he impregnates her and the resulting girl child is sold upon her birth).  France invades Spain (courtesy of Napoleon Bonaparte) and when the French Revolution begins to spread through Europe the chastised Brother Lorenzo travels to France where he assumes a new life away from the church.  During the trauma of these years Goya loses his hearing and in response to the disintegration of society, creates the Caprichos - etchings that stress the brutality and madness to which the country has succumbed.  Lorenzo returns to Spain, the prisoners of the Inquisition are freed, and In&eacute;s (now pitifully ugly) searches for her daughter, confronting Lorenzo with the paternity. How all of the pieces of the Caprichos come to life brings an end to the story fills the final moments of this fine period piece.Javier Bardem is particularly strong in his role of the mutating Lorenzo and Stellan Skarsgrd makes Goya an understandable genius.  In addition to the named cast there are excellent cameo roles for such fine actors as Unax Ugalde, Wael Al Moubayed (Goya's interpreter), Jos&eacute; Luis G&oacute;mez and Mabel Rivera among others.  The cinematography by Javier Aguirresarobe captures the flavor of the period and the musical score by Varhan Bauer and Jos&eacute; Nieto quotes some 20th century compositions (Shostakovich) and blends Spanish court and dance themes into a rich musical tapestry.  This is a fine film despite the lack of critical acceptance and certainly deserves a large audience, especially those who appreciate historical drama.  Grady Harp, February 08",5.0,0.951219512195122,14,1,0.0,neutral,-0.9758,very negative,2008,2,28
574452,B000059QY3,A55B9VCC7F2ZL,23,23,2006-07-04,Top-rank stage production,"The only other DVD of the opera that I'm familiar with isZeffirelli's movie version, which relies on cinematic effects as much as on the (heavily cut) score. There are no cinematic effects in this Solti version, but neither is it a ""live"" production -- clearly, it was taped without an audience and then shots of the Covent Garden crowd were spliced in. That's probably just as well, as we get a minimum of interruptions for applause, but be warned if you are expecting a truly spontaneous performance.I can only echo what has already been said about Georghiu's performance. Unlike the vulnerable, barely-in-control Violetta of Teresa Stratas, she is a queen, commanding every scene she's in (which is most of them). She moves with graceful deliberation and sings with absolute authority. Lopardo is less persuasive as Alfredo -- maybe it's just that he squints too much to convince us that he's the ardent lover -- but the excellent overall direction masks any lack of acting skills. Indeed every bit of stage action in this performance seamlessly advances the story -- there is no sense, as there often is in opera, that the performers are being busy just for the sake of being busy.It's a pleasure to be able to say that all this technical proficiency does not diminish the emotional impact of the production. Maybe it doesn't quite get the three-hankie rating of Zeffirelli's version, but it certainly gets two, and it perhaps earns them a little more honestly.",5.0,1.0,1,3,0.0,neutral,0.9879,very positive,2006,7,4
153684,0792845684,A1SEJQQTN6H9IV,0,0,2014-05-06,Legendary film !!!,"I have always loved this film and still continue to watch it from time to time. Strong suggestion to watch this especially if you never have. I love this brilliant, classic Legendary film Escape from New York. It's about a man who is asked/forced to save the president from a future version of a prison state after they crash land there accidentally. I look forward to seeing this one again!",5.0,0.0,1,1,0.0,neutral,0.7289,very positive,2014,5,6
1073979,B000Q6GUKC,A2XD0HDFKUXMTN,1,2,2008-01-28,Most Amazing,"Most amazing show on tv. hands down.I love the off handed LIBERAL comments that are made, sorry halliburton youve been put on blast =]",5.0,0.5,1,2,0.624,very positive,0.8908,very positive,2008,1,28
46398,0783216084,A1W67Y1IXCHYA1,0,1,2013-03-18,This is horror at its best,"See, you don't need zombies tearing people's heads off, or tons of sex and all that other garbage to have a great horror film. This is still one of my favorites and you don't even see the shark for the first time till what, 50 mins in? &#34;You're gonna need a bigger boat&#34;..classic line.",5.0,0.0,1,3,0.128,neutral,0.4939,positive,2013,3,18
1150822,B0015TJGHS,A2E1EFNIZL2FVA,2,2,2010-10-06,"....""I hope you are my second chance""","During the 70s, at age 9,  Xiangyang`s father, an artistic painter, has entered into his life after serving time in a labor camp.  However, brutal treatment (stomping on his hands) he received in the camp destroyed his ability to ever paint again.  The young boy rebels authority by his father as he just wants to be a kid like the others.  Father has dreams of him becoming a painter and forcefully engages the young boy into lessons.  Discovering one way to get out of painting, Xiangyang makes attempts to ruin his painting hand.The family endures an earthquake, and mother is all about making a home for her family, attempting to be on the list for an apartment that means resorting to a divorce until they get the apartment.  The story jumps to 1987 when Xiangyang meets a beautiful girl and paints her while she skates on the ice.  The relationship blooms, as he saves money to leave for Guangzhou with the girl and a friend, but again, father has control over him and forces him to stay to become the painter he never got to be.As Xiangyang becomes a young man in love, the conflict with his father continues as the parents go as far as insisting when Xiangyang and his,  presumably, wife must have a child.This is a wonderful compassionate film on father and son relationships, a universal theme, when the family imposes the best for their child; and especially, when a parent lives their dream through their child at the price of  natural tension, conflict and stress that comes with that.  But, it is a film about love; love for your family!The movie depicts the cultural changes in Beijing, changes in a family's life over thirty years.  The 70s scenes were shot in alleys, courtyards, unique housing and here is a nostalgic look at the children, simply at play.  The next scenes jumps to 1999 and we see how different society has changed.  This is a wonderful two hour family drama, saga, and a relationship with conflict.Don't miss the Special Features, discussion about how director Zhang Yang hopes people can come away with something from their own lives, some pieces of their own memories.  You will also learn how the title relates to the film's theme.  This is a two hour family saga filled with tense conflict and emotions.  And for another Zhang Yang directed film with emotional family issues, see the wonderful and humorousShower......Rizzo",5.0,1.0,2,1,0.5994,positive,0.9922,very positive,2010,10,6
571587,B0000575WO,A29T4QDORQAGQN,4,5,2006-03-26,Very Scary!!,"Before House of Wax or Staying Alive or any of these movies came to theatre, this movie is what you will actually call horror in every sense of the word, believe me when I tell you that",5.0,0.8,2,1,-0.6221,very negative,-0.2732,negative,2006,3,26
